[inf] 2018-03-30 06:45:20 | Forged new block id: 12515520943665792497 height: 2491 round: 25 slot: 5828312 reward:100000000
[ERR] 2018-03-30 06:45:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:45:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:30 | Forged new block id: 12161456241086566645 height: 2492 round: 25 slot: 5828313 reward:100000000
[ERR] 2018-03-30 06:45:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:45:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:40 | Forged new block id: 17867097653592318826 height: 2493 round: 25 slot: 5828314 reward:100000000
[ERR] 2018-03-30 06:45:41 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:42 | Application launched successfully
[ERR] 2018-03-30 06:45:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:45:50 | Forged new block id: 11980585692084391828 height: 2494 round: 25 slot: 5828315 reward:100000000
[ERR] 2018-03-30 06:45:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:45:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:00 | Forged new block id: 7727815582058532981 height: 2495 round: 25 slot: 5828316 reward:100000000
[ERR] 2018-03-30 06:46:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:10 | Forged new block id: 11631453770190159666 height: 2496 round: 25 slot: 5828317 reward:100000000
[ERR] 2018-03-30 06:46:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:20 | Forged new block id: 4658368272278857437 height: 2497 round: 25 slot: 5828318 reward:100000000
[ERR] 2018-03-30 06:46:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:31 | Forged new block id: 5287305681512046844 height: 2498 round: 25 slot: 5828319 reward:100000000
[ERR] 2018-03-30 06:46:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:40 | Forged new block id: 15696535944408242411 height: 2499 round: 25 slot: 5828320 reward:100000000
[ERR] 2018-03-30 06:46:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:46:50 | Forged new block id: 885816722686093312 height: 2500 round: 25 slot: 5828321 reward:100000000
[ERR] 2018-03-30 06:46:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:46:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:00 | Forged new block id: 1422448450619045058 height: 2501 round: 25 slot: 5828322 reward:100000000
[ERR] 2018-03-30 06:47:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:10 | Forged new block id: 6289390236400393518 height: 2502 round: 25 slot: 5828323 reward:100000000
[ERR] 2018-03-30 06:47:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:20 | Forged new block id: 9258223373697985001 height: 2503 round: 25 slot: 5828324 reward:100000000
[ERR] 2018-03-30 06:47:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:30 | Forged new block id: 2727523135246324478 height: 2504 round: 25 slot: 5828325 reward:100000000
[ERR] 2018-03-30 06:47:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:40 | Forged new block id: 4617928081477537833 height: 2505 round: 25 slot: 5828326 reward:100000000
[ERR] 2018-03-30 06:47:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:47:51 | Forged new block id: 5028192318705840869 height: 2506 round: 25 slot: 5828327 reward:100000000
[ERR] 2018-03-30 06:47:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:47:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:00 | Forged new block id: 8714981944184439697 height: 2507 round: 25 slot: 5828328 reward:100000000
[ERR] 2018-03-30 06:48:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-03-30 06:48:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-03-30 06:48:10 | Forged new block id: 3142909870293994997 height: 2508 round: 25 slot: 5828329 reward:100000000
[ERR] 2018-03-30 06:48:11 | Discovering new peers failed - "No acceptable peers found"
