[inf] 2018-02-13 05:49:01 | Forging enabled on account: 16393212359163578383BL
[inf] 2018-02-13 05:49:02 | Forged new block id: 15305563297144849861 height: 47 round: 1 slot: 5439174 reward:100000000
[ERR] 2018-02-13 05:49:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:49:10 | Forged new block id: 10489888482948569684 height: 48 round: 1 slot: 5439175 reward:100000000
[ERR] 2018-02-13 05:49:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:49:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:49:20 | Forged new block id: 1316389720545520959 height: 49 round: 1 slot: 5439176 reward:100000000
[ERR] 2018-02-13 05:49:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:49:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:49:30 | Forged new block id: 14147722763053872282 height: 50 round: 1 slot: 5439177 reward:100000000
[ERR] 2018-02-13 05:49:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:49:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:49:40 | Forged new block id: 9169328726603487592 height: 51 round: 1 slot: 5439178 reward:100000000
[ERR] 2018-02-13 05:49:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:49:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:49:50 | Forged new block id: 1769680401334060778 height: 52 round: 1 slot: 5439179 reward:100000000
[ERR] 2018-02-13 05:49:51 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:49:56 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:00 | Forged new block id: 14785664429507494821 height: 53 round: 1 slot: 5439180 reward:100000000
[ERR] 2018-02-13 05:50:01 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:50:06 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:11 | Forged new block id: 3587675502366878512 height: 54 round: 1 slot: 5439181 reward:100000000
[ERR] 2018-02-13 05:50:11 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:50:16 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:20 | Forged new block id: 4659008577285759075 height: 55 round: 1 slot: 5439182 reward:100000000
[ERR] 2018-02-13 05:50:21 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:50:26 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:30 | Forged new block id: 5468474861109543078 height: 56 round: 1 slot: 5439183 reward:100000000
[ERR] 2018-02-13 05:50:31 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:50:36 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:40 | Forged new block id: 7375618063729106422 height: 57 round: 1 slot: 5439184 reward:100000000
[ERR] 2018-02-13 05:50:41 | Discovering new peers failed - "No acceptable peers found"
[ERR] 2018-02-13 05:50:46 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:50 | Forged new block id: 4153815467298723939 height: 58 round: 1 slot: 5439185 reward:100000000
[ERR] 2018-02-13 05:50:51 | Discovering new peers failed - "No acceptable peers found"
[inf] 2018-02-13 05:50:51 | 8541648020143930742 - "Downloading: https://github.com/pankaj005/bel-sidechain/archive/master.zip"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Finished downloading"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Decompressing zip file"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 1 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 2 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 3 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 4 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 5 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 6 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 7 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 8 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 9 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 10 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 11 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 12 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 13 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 14 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 15 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 16 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 17 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 18 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 19 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 20 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 21 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 22 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 23 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 24 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 25 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 26 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 27 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 28 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 29 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 30 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 31 of 57"
[inf] 2018-02-13 05:50:54 | 8541648020143930742 - "Extracted file 32 of 57"
